environment_id,variant,device,trial,preset,batch_size,images_per_second,seconds,peak_host_rss_mib
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,full,256,129.12878613530611,"[1.982516893884167, 1.9731587800197303, 1.979680062038824, 1.9286577210295945, 2.003313892055303, 2.12636016192846, 2.1826345180161297]",11622.4375
j-12402286-job-0,onnx-tta,cuda:0,trial-1-onnx-tta-cuda-0,north_europe,256,130.03771532567654,"[2.089646345935762, 1.9014787450432777, 1.9645583529490978, 1.8932036010082811, 1.9686596258543432, 1.9741132739000022, 2.2100263938773423]",11622.4375
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,full,1,25.00895319189691,"[0.03944537718780339, 0.04006013204343617, 0.040014814119786024, 0.03990480909124017, 0.039944858988747, 0.040130988927558064, 0.039985680021345615]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,north_europe,1,25.693376156511338,"[0.03870765585452318, 0.038914378033950925, 0.038999626180157065, 0.03899268596433103, 0.0388798660133034, 0.03895947616547346, 0.0389205371029675]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,full,8,102.28573707861345,"[0.078212273074314, 0.07666598493233323, 0.07563351094722748, 0.08347646496258676, 0.08239176287315786, 0.08907328895293176, 0.0779165280982852]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,north_europe,8,95.89452986057971,"[0.08519353996962309, 0.08176997792907059, 0.07896921201609075, 0.07469155290164053, 0.09002882707864046, 0.08342498796992004, 0.09594587213359773]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,full,32,127.29254314298657,"[0.23686125595122576, 0.2459776159375906, 0.22779894596897066, 0.25679213204421103, 0.2529080470558256, 0.25138943106867373, 0.25198757206089795]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,north_europe,32,136.72982352121235,"[0.29182543884962797, 0.2322860099375248, 0.22935751313343644, 0.23567410907708108, 0.22680777497589588, 0.23403818695805967, 0.2375326359178871]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,full,256,146.3969568946306,"[1.7486702280584723, 1.7503152440767735, 1.8470838381908834, 1.9163033759687096, 1.7106920420192182, 1.748026367975399, 1.7277893908321857]",13812.69140625
j-12402286-job-0,torch-tta,cuda:0,trial-1-torch-tta-cuda-0,north_europe,256,147.82696242852057,"[1.6979348661843687, 1.7317544498946518, 1.6914874098729342, 1.6777222258970141, 1.7644795370288193, 1.7319374058861285, 1.7670164369046688]",13812.69140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,full,1,117.63046498321172,"[0.00919535499997437, 0.008699428057298064, 0.008524524047970772, 0.008501199074089527, 0.008469022111967206, 0.008432967122644186, 0.008470023050904274]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,north_europe,1,138.6048844539578,"[0.007311638910323381, 0.007264276966452599, 0.007204758003354073, 0.007197878090664744, 0.007214271929115057, 0.007214752957224846, 0.007239228812977672]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,full,8,302.3480963834994,"[0.026133797131478786, 0.026719619054347277, 0.02645956794731319, 0.02858591009862721, 0.025771782966330647, 0.023208813974633813, 0.026863716077059507]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,north_europe,8,338.34249170542535,"[0.022100324975326657, 0.023982940008863807, 0.024858698016032577, 0.02364468015730381, 0.022694980027154088, 0.026994443964213133, 0.02106905193068087]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,full,32,442.1959705074405,"[0.07352107507176697, 0.07236610492691398, 0.07438836991786957, 0.07151586492545903, 0.06982674193568528, 0.07485655602067709, 0.07161813997663558]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,north_europe,32,480.35072199877527,"[0.0709644251037389, 0.06823060917668045, 0.0666179908439517, 0.06489726016297936, 0.06573307886719704, 0.0661705881357193, 0.07377067091874778]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,full,256,439.46688003057005,"[0.5825239890255034, 0.5645170279312879, 0.5834215709473938, 0.5691107539460063, 0.5670419801026583, 0.6174930001143366, 0.5911674541421235]",6995.44140625
j-12402286-job-0,onnx,cuda:0,trial-1-onnx-cuda-0,north_europe,256,468.5478437832685,"[0.5618854460772127, 0.5501534920185804, 0.5374202101957053, 0.5463689640164375, 0.5567910959944129, 0.5443950810004026, 0.5368676378857344]",6995.44140625
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,full,1,77.15462941990037,"[0.012598931090906262, 0.013577082892879844, 0.012706432957202196, 0.012960985070094466, 0.012506511062383652, 0.013051111018285155, 0.01495455694384873]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,north_europe,1,89.40391873994095,"[0.011546565918251872, 0.011185192037373781, 0.011236910009756684, 0.011101445881649852, 0.011377390939742327, 0.01118481089361012, 0.011019441997632384]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,full,8,311.46445262946304,"[0.02640065085142851, 0.024855625117197633, 0.025351922027766705, 0.02701724017970264, 0.028978002024814487, 0.02506327792070806, 0.02568511408753693]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,north_europe,8,326.8468549682898,"[0.024476294871419668, 0.026545919943600893, 0.025650982977822423, 0.023425891995429993, 0.021990061039105058, 0.026437897933647037, 0.02316271699965]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,full,32,493.7255957211627,"[0.06481333007104695, 0.06772171892225742, 0.06364572211168706, 0.06241707084700465, 0.06580415111966431, 0.06383994384668767, 0.0668210128787905]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,north_europe,32,491.75291090046,"[0.06315053603611887, 0.0666959248483181, 0.06507333111949265, 0.06123319920152426, 0.06664490816183388, 0.06254803878255188, 0.06628210097551346]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,full,256,367.63960694873936,"[0.7084685349836946, 0.7001728950999677, 0.6916666671168059, 0.6998157668858767, 0.6384113600943238, 0.6963341140653938, 0.6908263708464801]",8100.1953125
j-12402286-job-0,torch,cuda:0,trial-1-torch-cuda-0,north_europe,256,470.3901109870499,"[0.5538813420571387, 0.5384540820959955, 0.5442291281651706, 0.571407072013244, 0.5495763490907848, 0.5196307881269604, 0.5318822769913822]",8100.1953125
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,full,1,162.30103644077124,"[0.006237654015421867, 0.006227159174159169, 0.006161390105262399, 0.006178766023367643, 0.0061166922096163034, 0.006160348886623979, 0.006114738993346691]",4595.41796875
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,north_europe,1,169.28273731364027,"[0.006207118974998593, 0.005907276878133416, 0.005898222792893648, 0.005931344116106629, 0.00581088219769299, 0.005852275062352419, 0.006088610040023923]",4595.41796875
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,full,8,437.8569345603938,"[0.01845841109752655, 0.018357458990067244, 0.01828199508599937, 0.01827080803923309, 0.01818935596384108, 0.018189395079389215, 0.018088093027472496]",4595.41796875
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,north_europe,8,452.67259312175884,"[0.018221714068204165, 0.01794675993733108, 0.017731456086039543, 0.01767281722277403, 0.017497373977676034, 0.017558936029672623, 0.017560458043590188]",4595.41796875
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,full,32,539.4992257828832,"[0.05852341395802796, 0.05764063401147723, 0.060999603010714054, 0.05931426491588354, 0.06890516099520028, 0.05869247787632048, 0.05931656784377992]",4595.41796875
j-12402286-job-0,v2,cuda:0,trial-1-v2-cuda-0,north_europe,32,559.4076499953098,"[0.05751471407711506, 0.057311567943543196, 0.05758101399987936, 0.05686114099808037, 0.05686043878085911, 0.05720336502417922, 0.05677030282095075]",4595.41796875
j-12402286-job-0,v2,cpu,trial-2-v2-cpu,full,1,1.9392516010325764,"[0.5145874070003629, 0.5160089780110866, 0.5162893699016422, 0.5155025550629944, 0.5156215140596032, 0.5156628461554646, 0.5165060760919005]",4571.9296875
j-12402286-job-0,v2,cpu,trial-2-v2-cpu,north_europe,1,1.9569581532938247,"[0.5102189481258392, 0.5121426749974489, 0.5104478730354458, 0.512342827161774, 0.5109971300698817, 0.5137192090041935, 0.5095693198964]",4571.9296875
j-12402286-job-0,v2,cpu,trial-2-v2-cpu,full,8,2.054081456231529,"[3.907884922111407, 3.899646857054904, 3.8973819261882454, 3.892451951978728, 3.8930711839348078, 3.8896946699824184, 3.8946848849300295]",4571.9296875
j-12402286-job-0,v2,cpu,trial-2-v2-cpu,north_europe,8,2.056526996062075,"[3.9068993870168924, 3.8936226449441165, 3.8872487179469317, 3.8911931777838618, 3.88358885794878, 3.8886565680149943, 3.890053481096402]",4571.9296875
j-12402286-job-0,torch,cpu,trial-2-torch-cpu,full,1,16.210259269276104,"[0.060125784017145634, 0.06232575583271682, 0.061606443021446466, 0.06168932793661952, 0.06175602786242962, 0.06163156102411449, 0.061742307152599096]",3276.0703125
j-12402286-job-0,torch,cpu,trial-2-torch-cpu,north_europe,1,16.843928286078263,"[0.05653630895540118, 0.059587083058431745, 0.05904392385855317, 0.05940318596549332, 0.059616656973958015, 0.05924672004766762, 0.059368573827669024]",3276.0703125
j-12402286-job-0,torch,cpu,trial-2-torch-cpu,full,8,28.6694632884164,"[0.2817683289758861, 0.28499519801698625, 0.2783872978761792, 0.274959767004475, 0.2746768419165164, 0.2826676538679749, 0.2790425450075418]",3276.0703125
