model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
torch:wide_rotation_mixed_padding_5,coverage_80,species,0.7969815731048584,52788,0.7999924225202698,0.8703860488155565,0.7478527799932727,0.6541611168700917,0.5769583914374429,0.8337437840397821,0.9525401112314309,0.9642272032183972,0.9621322595440107,0.7940774494750392,0.8559202478885654,282,43436,35208
torch:wide_rotation_mixed_padding_5,coverage_80,genus,0.909421443939209,52788,0.7999924225202698,0.9702370068158972,0.8641071843621503,0.7311401849680091,0.7126052675987479,0.9137106322519536,0.9550597834064932,0.9798380770766145,0.9813582892523279,0.7881178200935575,0.8613988006364001,220,47497,38452
torch:wide_rotation_mixed_padding_5,coverage_80,family,0.9860424399375916,52788,0.7999924225202698,0.9895760191358332,0.8401325897859828,0.7351839613471405,0.6968757347312367,0.9990764859104901,0.9086734404521702,0.9879301274204382,0.9917603860229236,0.7725506252744735,0.8652970967233362,19,52770,42219
torch:wide_rotation_mixed_padding_5,coverage_90,species,0.513369619846344,52788,0.8999962112601348,0.8297329234230693,0.5765988016597196,0.7158386940830017,0.4952952124369994,0.8030057462796523,0.9525401112314309,0.934962103106059,0.9381498118770788,0.8439005661627716,0.8761809466681394,295,44256,38932
torch:wide_rotation_mixed_padding_5,coverage_90,genus,0.5913177728652954,52788,0.8999962112601348,0.9371673280837497,0.6672605314057598,0.8028247469715531,0.6092459823242529,0.8878317792418279,0.9550597834064932,0.9564080257719563,0.9529007912283691,0.8523142992788373,0.8890123517529243,231,48032,42643
torch:wide_rotation_mixed_padding_5,coverage_90,family,0.8463716506958008,52788,0.8999962112601348,0.9685322979359694,0.6394863690228767,0.8178052140525619,0.5946226332779055,0.996295438758972,0.9086734404521702,0.9786013073845059,0.9791079040923648,0.8644686599259757,0.9158065618920347,19,52770,47467
onnx:rotation30_pad15_3,zero,species,0.0,52788,1.0,0.7513525957454966,0.3357177251908713,0.7513525957454966,0.32100616569668566,0.7501704932939305,0.9506293360700655,0.8681754725478049,0.8800706763295238,0.8681754725478049,0.8586965864033043,308,44643,41703
onnx:rotation30_pad15_3,zero,genus,0.0,52788,1.0,0.8515498392515479,0.3869534389691655,0.8515498392515479,0.3880775533670641,0.8322724861710995,0.9530907894039403,0.8817732545623048,0.8625063923843291,0.8817732545623048,0.8541158274741251,242,52567,45983
onnx:rotation30_pad15_3,zero,family,0.0,52788,1.0,0.8624898678796847,0.3360275595138312,0.8624898678796847,0.3485676456240567,0.9608812608926272,0.904985777478236,0.8918633480616375,0.8154730327116526,0.8918633480616375,0.840370927570417,20,52783,52372
onnx:rotation30_pad15_3,optimized,species,0.770552396774292,52788,0.8067174357808593,0.864259698288895,0.7129414582230171,0.6581485418241365,0.5603296083270611,0.82996360220735,0.9506293360700655,0.9632906010281114,0.9619290738861205,0.7985746451092541,0.8589686091730018,272,42778,34924
onnx:rotation30_pad15_3,optimized,genus,0.7823580801486969,52788,0.8480336440100023,0.9602256286013219,0.7545606744376422,0.7659093737952452,0.6569306030813745,0.902649332082384,0.9530907894039403,0.9746103739038117,0.9741038410766583,0.8283883340772565,0.885697418184335,215,46868,39933
