model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
onnx,optimized,0.9698503911495209,8838,Coleophoridae,0,2,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,8839,Cosmopterigidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8840,Cossidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,8841,Crambidae,4542,2444,0.9987725040916531,1.0,0.5374284456186702,1.0,0.6988262238763241,1.0
onnx,optimized,0.9698503911495209,8855,Momphidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8860,Plutellidae,14,12,0.9166666666666666,1.0,0.7857142857142857,1.0,0.8461538461538461,1.0
onnx,optimized,0.9698503911495209,8861,Psychidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,8863,Pterophoridae,79,71,0.9859154929577465,1.0,0.8860759493670886,1.0,0.9333333333333333,1.0
onnx,optimized,0.9698503911495209,8864,Saturniidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8865,Schreckensteiniidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8866,Scythrididae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8868,Sphingidae,1124,855,1.0,1.0,0.7606761565836299,1.0,0.8640727640222333,1.0
onnx,optimized,0.9698503911495209,8871,Tischeriidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,8874,Yponomeutidae,13,3,0.6666666666666666,1.0,0.15384615384615385,1.0,0.25,1.0
onnx,optimized,0.9698503911495209,9408,Micropterigidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,9410,Lyonetiidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,9412,Tineidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,9541689,Meessiidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,9689,Oecophoridae,32,18,1.0,1.0,0.5625,1.0,0.72,1.0
onnx,optimized,0.9698503911495209,9717,Nolidae,191,145,1.0,1.0,0.7591623036649214,1.0,0.863095238095238,1.0
onnx,common_0.96,0.96,3528,Incurvariidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,common_0.96,0.96,3530,Lasiocampidae,728,387,1.0,1.0,0.5315934065934066,1.0,0.694170403587444,1.0
onnx,common_0.96,0.96,3552,Ethmiidae,48,41,1.0,1.0,0.8541666666666666,1.0,0.9213483146067415,1.0
onnx,common_0.96,0.96,3553,Gelechiidae,2,1,0.0,1.0,0.0,1.0,0.0,1.0
onnx,common_0.96,0.96,3554,Glyphipterigidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,common_0.96,0.96,3556,Hepialidae,14,12,1.0,1.0,0.8571428571428571,1.0,0.9230769230769229,1.0
onnx,common_0.96,0.96,3563,Endromidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,common_0.96,0.96,4300664,Autostichidae,0,0,1.0,0.0,,0,1.0,0.0
